Название модели,Цена,Ссылка
"DT Retail для работы и учебы серебрянный RAM 8 / SSD M.2 256 gb / Русская клавиатура / Windows PRO Ноутбук, Intel Celeron N5095, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics, Windows Pro, серебристый, Русская раскладка",24 695 ₽,https://www.ozon.ru/product/dt-retail-dlya-raboty-i-ucheby-serebryannyy-ram-8-ssd-m-2-256-gb-russkaya-klaviatura-windows-pro-1620509896/?asb=kpSDEecnwtK7PO4LDW007ElQYScvzrgYQduMIJ1NjKY%253D&asb2=R4IFZBYpR6HbrH-HskGDqe-vVIkfs4aQk8LamctCq9t5-EPjDfFx7ztMIxkZfP_dTS9jN-d-mD7AdmZfJDijTg&avtc=1&avte=4&avts=1724073062
"Lenovo IdeaPad Slim 3 16IAH8 Ноутбук 16"", Intel Core i5-12450H, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, Без системы, (83ES0006RK), серый, Русская раскладка",41 841 ₽,https://www.ozon.ru/product/lenovo-ideapad-slim-3-16iah8-noutbuk-16-intel-core-i5-12450h-ram-16-gb-ssd-512-gb-intel-uhd-graphics-1628553865/?advert=LgvSujy5qpY78QLGjbz3GlDaa4an0YMc2FYyImWoraCRaeNMI3eeTNmfSuG-K0pFMDBMthe1bsxiBAU6KimbnxSRmwCJDd080yKd5IsJ2GKAncBTzCDF-souaw_D0s7DBHEUD7yC5mZEmczwX2PQlI12To81Uf8PYF9rkHDwrjtWeNS-EPA9U-XJCLv1Zayj7QaFPjsIRjx6ZMEu6gJasO8_lv0BwalXbGsDpFNiug1RZopayxUcxHvJ7uw1xtNdCAo_NIpd1uHakiHf-0DXsaQ827oCy_s&avtc=1&avte=2&avts=1724073062
"Ноутбук INTECH Ноутбук 15.6"", AMD Ryzen 5 5600U, RAM 16 ГБ, SSD 256 ГБ, AMD Radeon RX Vega 7, Без системы, (2040658459896), Русская раскладка",35 424 ₽,https://www.ozon.ru/product/noutbuk-intech-noutbuk-15-6-amd-ryzen-5-5600u-ram-16-gb-ssd-256-gb-amd-radeon-rx-vega-7-bez-1628846377/?asb=E6S2iQtB%252FNxMOqlWkC3dk9Hq%252BzNtM2AmGjhWAXRqe64%253D&asb2=KVqI6TDCdmACWwLTGlmD6cC3rNg9U4wPR62jJqoZwJIhWy10K6fprR9mswROd3j5jewcL0d_CK458cNORxseug&avtc=1&avte=2&avts=1724073062
"DT Retail LT7-222 Ноутбук 15"", AMD Ryzen 5 4500U, RAM 12 ГБ, SSD 512 ГБ, AMD Radeon, Windows Pro, серебристый, белый, Русская раскладка",36 912 ₽,https://www.ozon.ru/product/dt-retail-lt7-222-noutbuk-15-amd-ryzen-5-4500u-ram-12-gb-ssd-512-gb-amd-radeon-windows-pro-1630343413/?asb=CJua1jf4Zp20wDMnKH9m7mt0z7d85Vlhm7gzjfy0Lfw%253D&asb2=-WObxbQpsTV590QmsHeDVz0ICfA0Fq66-CwGQoJIMNiESu8TPmcd0W_hpV95X0vkpP4GI1i-K__8MgPPL9HNLA&avtc=1&avte=4&avts=1724073062
"Гравитон Н15И Ноутбук 15.6"", Intel Core i5-10210U, RAM 8 ГБ, SSD, Intel UHD Graphics, Windows Pro, черный, Русская раскладка",29 496 ₽,https://www.ozon.ru/product/graviton-n15i-noutbuk-15-6-intel-core-i5-10210u-ram-8-gb-ssd-intel-uhd-graphics-windows-pro-chernyy-1629728741/?advert=3LXXzlPk0nTjuduqUc6PfT_eAETvQxaKors9n5fLdiIo086-3i8HuD-xegPGgMC6GL0VfVi-TlGawO68s7yvqB9upDn_gJbHWNVM0xGC10XSrZ4jQBt0b3J1lplJYFhBrRDq09CoIv0AehI9ZWqL-CQwk9yFGT4TZf7kXjVb8iDtEWGAWzKiITlf6iaDZsxAGcU88R9YphijbD5mEg2gpZaNqSJSP7GZ7bSrNmCY36sPzAitvr1jPrV0WZ_6J-_3OADdDt54UMyM7IczNeMbIUMeRAdNaF1MWcf3&avtc=1&avte=2&avts=1724073062
"MSI Thin GF63 12UC-1094XRU Игровой ноутбук 15.6"", Intel Core i5-12450H, RAM 8 ГБ, SSD 512 ГБ, NVIDIA GeForce RTX 3050 для ноутбуков (4 Гб), Без системы, (9S7-16R821-1094), черный, Русская раскладка",66 353 ₽,https://www.ozon.ru/product/msi-thin-gf63-12uc-1094xru-igrovoy-noutbuk-15-6-intel-core-i5-12450h-ram-8-gb-ssd-512-gb-1642254414/?asb=7a4VwMlzK0K2UcnfJMegWa3TfaIFnLVreekwNAHSRF0%253D&asb2=xMtPtFtCGEBSMQmmFSQld2zcgBkZssiB0ERgSymefSF7WsXySx8IL9BQBzoy9qtoTK_JaQFqf2DwZBjJblSttQ&avtc=1&avte=2&avts=1724073062
"Ноутбук HTEX H16 Pro16/512 Ноутбук 15.6"", Intel Celeron N5095, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows Pro, серый, Русская раскладка",20 764 ₽,https://www.ozon.ru/product/noutbuk-htex-h16-pro16-512-noutbuk-15-6-intel-celeron-n5095-ram-16-gb-ssd-512-gb-intel-uhd-1519738124/?asb=zuXwoOUO2V6%252B59lWGmplSc18gg3OPDWfXXEtQ42E58E%253D&asb2=dRW6oEpp5p3B5bdOW16_rt2zQt89M1QS-bGuyvw4hWwANFLN13FBAU_wZ8Lwcw7hIVo3eZqXmUdtj0c3vpUHQw&avtc=1&avte=2&avts=1724073062
"HUAWEI Matebook D 15 2021 Ноутбук 15.6"", RAM 8 ГБ, Без системы, (53013TUE), серебристый, Русская раскладка",47 430 ₽,https://www.ozon.ru/product/huawei-matebook-d-15-2021-noutbuk-15-6-ram-8-gb-bez-sistemy-53013tue-serebristyy-russkaya-raskladka-1636086427/?advert=vE7Zr2yO9eklt8vAz0BpiSpLPEXNFPMBblM5QrhFVNPIFbZPgYfqeY3STT9Z_yG6AS2pb7DY1NxZK8fCiSq71aOvbapM1aLiYnNew54qmlkravT45AhpP6hAkGB7XJBw1ybxjwqUKcyRB_wZ7xI0wHLOWww05t2NyXzlV-VMG9FSYRXsMxRoToHxNPj3IJdhEuPen6QZUAmyX6FFF1_-Y_ddWPNPEIobkyIrXNNIO1Ffgze2I-jep1ZM7aGQejZfjBdl-XRJB7LZQpbvBsVjGgQA2Xg1O0FZgFA&avtc=1&avte=2&avts=1724073062
"Echips Arctic Ноутбук 15.6"", Intel Processor N100, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics, Windows Home, синий, Русская раскладка",26 201 ₽,https://www.ozon.ru/product/echips-arctic-noutbuk-15-6-intel-processor-n100-ram-8-gb-ssd-256-gb-intel-uhd-graphics-windows-1555523536/?asb=u7XR4GYXhE1zu6I89ZC4D%252F%252FbULTHVIvttScHHmVnEPE%253D&asb2=oQt1TRuLMhP3PlcAqDXDc6WCqrzunvNkAF5LQtMyFIeeKNWIp3qgUmEIcAjHVq89Vi5vuECdVyemwR9LCWT-eQ&avtc=1&avte=2&avts=1724073062
"Honor MagicBook 14 (DOS) Ноутбук 14"", AMD Ryzen 5 5500U, RAM 8 ГБ, SSD 512 ГБ, AMD Radeon Graphics, Без системы, (5301AFVH), серый, Русская раскладка",39 760 ₽,https://www.ozon.ru/product/honor-magicbook-14-dos-noutbuk-14-amd-ryzen-5-5500u-ram-8-gb-ssd-512-gb-amd-radeon-graphics-1087860538/?asb=fdQrM7EEcYbxVN7QQH%252B6hsyRT88KUos6RqHWv5q6UFo%253D&asb2=kG74WJF9Oe56ih_h_odevlFGjTSXkBxqnGM2p6mVzkwvJCZ_gZ2hOIv_ij5U5j7KQUw8A6orgZZ2P3tb-_cTDA&avtc=1&avte=2&avts=1724073062
"Lenovo IdeaPad 1 15ALC7 Ноутбук 15.60"", AMD Ryzen 7 5700U, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon, Без системы, (82R4EBTRRU), серый, Русская раскладка",50 211 ₽,https://www.ozon.ru/product/lenovo-ideapad-1-15alc7-noutbuk-15-60-amd-ryzen-7-5700u-ram-16-gb-ssd-512-gb-amd-radeon-bez-sistemy-1632605012/?advert=mDLt7degaRhtakv6oIPPL8mJTTVBjCL1aU3LnDGboFG6rkReUuC-l6qQ6iZFBKdq8Rl3mUv_KkcaG2RBWuM-qb0Gt80HCojr5BCltAl_iLnDd8xxCi2zOMvwb2lUsQ01mnapzE7cJ-KoeVfmsdD_kz0GiL8qs672NWWq6gf9oUPmRDbN-tMk6eyr56ozSUoImHix15_PmfmbZKZryVyc_TlfMax18lQEc4nj8Xlrp9kYW0tDSmDsXGC9Dfr10IAiWoYCLowi-ovpu9vRqVxJdP0LLGaUFFQ&avtc=1&avte=2&avts=1724073062
"Honor MagicBook X16, 2024 i5 DOS Ноутбук 16"", Intel Core i5-12450H, RAM 8 ГБ, SSD 512 ГБ, Intel UHD Graphics, Без системы, (5301AHHP), серый металлик, Русская раскладка",39 181 ₽,https://www.ozon.ru/product/honor-magicbook-x16-2024-i5-dos-noutbuk-16-intel-core-i5-12450h-ram-8-gb-ssd-512-gb-intel-uhd-1557387967/?asb=97XRIOcK10g6zPbUAkPW4f6Yb67Xm2%252BFn4dn2GDFKyQ%253D&asb2=IuJm8DzpB2g0YSQvPla9PMsNtvpBrrY6_yd6B8b1VYS79fRZ7-PLO0tkeAtX6a014uBqNfrzi3aejo6won33YA&avtc=1&avte=2&avts=1724073062
"Compolis N4200 Ноутбук 14"", Intel Pentium N4200, RAM 12 ГБ, SSD, Intel HD Graphics 500, Windows Pro, (0), черный, серый, Русская раскладка",17 250 ₽,https://www.ozon.ru/product/compolis-n4200-noutbuk-14-intel-pentium-n4200-ram-12-gb-ssd-intel-hd-graphics-500-windows-pro-0-1409440418/?asb=4QrXBb9P%252FDRnm6kqef9bpqQK8Y2jStGCG9fA7%252FUUBl8%253D&asb2=Tcp8hjIB4bJpuj05iLNufXXbGWinrcbib2abqWOSgDlAmeg6qLtKGxBANFrflPMRcu26lGLyAeC-66FiFBNxJg&avtc=1&avte=4&avts=1724073062
"Honor MagicBook 14 (DOS) Ноутбук 14"", AMD Ryzen 5 5500U, RAM 16 ГБ, SSD 512 ГБ, AMD Radeon Graphics, Без системы, (5301AFWF), серый, Русская раскладка",45 990 ₽,https://www.ozon.ru/product/honor-magicbook-14-dos-noutbuk-14-amd-ryzen-5-5500u-ram-16-gb-ssd-512-gb-amd-radeon-graphics-1618566241/?advert=ffdtBCxn9zaMG64KFnqVobNKZf98zbevcvbO8SVU1-Ra1w8MZN3VPyQLWV7m3LDdz73XpKumMdO7bLeQLVcFnGtsKKr3Xr2Osz0O7OCWmgNGociVa3L3yqAX7WJc4BknoqD4SUE_Dk2tgaMQEJA7OJtkYVX0wm4rjwn4bFzWE8wyzRXcSkN3GnDB6pPJUvQ7ogRMeJRnEqSPwtYqWyIitqSL-XEuQ3nKo6WN6FJv1Xn7nQe1qnYXDVP_bf5MUWy9QWY2rGlOieyH0fX9vkrlc8kcvFFsQc1VJMAj&avtc=1&avte=2&avts=1724073062
"F152G Ноутбук 15.6"", Intel Celeron N5095, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics 750, Windows Home, серый металлик, Русская раскладка",35 937 ₽,https://www.ozon.ru/product/f152g-noutbuk-15-6-intel-celeron-n5095-ram-16-gb-ssd-512-gb-intel-uhd-graphics-750-windows-home-1628764355/?asb=mqQuftcoaK7dBK8OtIwLNrQ4gDRvYVsKpp%252ByEwdadog%253D&asb2=U_uqwAMwVgEM3wUQz2GbqNmTpULWYQzppXMUrOMj-ItBcpsZ01lh-tgA2svOlQrObiVhVX942y_YWPLgjUVNRzDzIryTdPV9-JKbrV2Z-AuH7dE0rOTIwvYEjXObNC_Jsq5pK3ogd9BCBxfzBPLwg-uuIxEfsnHnG6ikNm8e4n0&avtc=1&avte=4&avts=1724073062
"Compolis NB CP Ноутбук 15.6"", Intel Celeron N5095, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics 600, Windows Pro, черный, Русская раскладка",23 616 ₽,https://www.ozon.ru/product/compolis-nb-cp-noutbuk-15-6-intel-celeron-n5095-ram-16-gb-ssd-512-gb-intel-uhd-graphics-600-windows-1394714713/?asb=mR0FOejfkaPar7oweJ2Wi2jKqQwvqZSAFVFXEWAHcRA%253D&asb2=4l7CCbIqqHITRHwtAMMt53Jy5WOY93pXPZUMT_NAsmWs2tb2mxbdCavpQbFxPOOIBiQXANdm7gGMBa30k_aJvg&avtc=1&avte=4&avts=1724073062
"Machcreator One i3 (JB0C1B001RU) Ноутбук 15.6"", Intel Core i3-1005G1, RAM 8 ГБ, SSD 256 ГБ, Intel UHD Graphics, Windows Pro, (One i3 (JB0C1B001RU)), серый, Русская раскладка",25 421 ₽,https://www.ozon.ru/product/machcreator-one-i3-jb0c1b001ru-noutbuk-15-6-intel-core-i3-1005g1-ram-8-gb-ssd-256-gb-intel-1614589946/?advert=HvKreDiEKCPikVeehiVGd96d0xoMMWiS5CCp17zOzvBHkkc1uVJI9MiJXNdfRFjOPm5nfTfdIC8TpFJ6KGfbLwHYy3GPyVEC9tWgM_6iRx2RnkOZfMh7hQ7w8ZQAbjuhn5mhePH-YfFf47N7Pr1KhUmjYq0B9zZbEO6fxOHXVMfWoN3Ebrd4DJttOCPkBmgSAaw7tIDXBN7qwOzZdlJ32IqumNzz1uWWb0ORCJ6I55JZqYbaEG5rDkBSVCO-jo51FwtDHg5Hf2sGfugFrMWtC9i8hh3dNA8NEDf9&avtc=1&avte=2&avts=1724073062
"Digma Pro Breve S Ноутбук 15.6"", Intel Core i5-1035G1, RAM 16 ГБ, SSD 512 ГБ, Intel UHD Graphics, Windows Pro, (DN15P5-ADXW04), темно-серый, Русская раскладка",35 216 ₽,https://www.ozon.ru/product/digma-pro-breve-s-noutbuk-15-6-intel-core-i5-1035g1-ram-16-gb-ssd-512-gb-intel-uhd-graphics-1607510458/?asb=cm1pYgTocvooLRy%252BZ%252F6blYg6qZkznKctx3D9CeH0%252BJg%253D&asb2=6QBBVI8x3lMM5M5fER40sXPkl7EZaT3CVaLQXe6uaSO0l68QaqO2Wcsae8aWuMZg38mbzYMJLV-hXbd_2iFJUQ&avtc=1&avte=2&avts=1724073062
"Compolis AMD/ 15,6""/ 12 RAM/ 512 SSD Ноутбук 15.6"", AMD Ryzen 5 4500U, RAM 12 ГБ, SSD 512 ГБ, AMD Radeon Vega 6, Windows Pro, черно-серый, Русская раскладка",31 657 ₽,https://www.ozon.ru/product/compolis-amd-15-6-12-ram-512-ssd-noutbuk-15-6-amd-ryzen-5-4500u-ram-12-gb-ssd-512-gb-amd-radeon-1604491022/?asb=30veNN9qXS9SXqE3mHP252Iz5iOihd59uec4%252FmPvRnE%253D&asb2=MC7y20eqxpVlr_OPUpqlDbcqEE6ABckR-DervnWoJJsO3Ef8wiqbWHtymLkFjc4-nLZVMQ7WlyOAPQUNnWe0ew&avtc=1&avte=2&avts=1724073062
"Fronsh T425 Ноутбук 15.6"", Intel Celeron J4025, RAM 16 ГБ, SSD, Intel HD Graphics, Windows Pro, серебристый, Русская раскладка",22 218 ₽,https://www.ozon.ru/product/fronsh-t425-noutbuk-15-6-intel-celeron-j4025-ram-16-gb-ssd-intel-hd-graphics-windows-pro-serebristyy-1632823438/?advert=nmRZAdOVjAYWM71h4PLWfJVzR2xt3op9OkvElGRykLJRdQt1sqz3oOihsOHhmNF5yiGrCKm5qPNHdwPCm9A4FJlVaStPcR6WOm95tjye2ZIC8LSAn9aq6qgBaJ8qf3OyhWsfkC86bsv_L1Gba-LETVjvxtIw7EaxNf1L5mCY6AMFXy_gnowanip8yh5ckiThQLvtpzms_gofIxsoQXzHiOve57B1TzhKZgPHV0cwdHz_FieljuuK1t7DPRk-bI1rijbhBaj8yQnabeha-WkpGEC-DoWydvM6BWT6&avtc=1&avte=2&avts=1724073062
